ell,residuals,osc_fit
1620,-5.925340897557468e-16,-1.625495179687848e-13
1621,-5.48407118305531e-16,-1.5066146766693896e-13
1622,-5.039220163524668e-16,-1.3839171138612995e-13
1623,-4.592055531842826e-16,-1.2577099238074706e-13
1624,-4.143820199859376e-16,-1.1283093328176011e-13
1625,-3.69572955613369e-16,-9.960395686266091e-14
1626,-3.2489688648046787e-16,-8.612320480055754e-14
1627,-2.8046908092848043e-16,-7.242245463597472e-14
1628,-2.3640131839817555e-16,-5.853603513942703e-14
1629,-1.928016736768294e-16,-4.4498740296819246e-14
1630,-1.4977431644386008e-16,-3.0345742129217166e-14
1631,-1.0741932629169247e-16,-1.6112502565369073e-14
1632,-6.58325233514275e-17,-1.8346845878705682e-15
1633,-2.5105314606758538e-17,1.2451937124453442e-14
1634,1.4675444065242135e-17,2.671156583403025e-14
1635,5.342757013277812e-17,4.090847243729154e-14
1636,9.107366097594267e-17,5.5007084987960984e-14
1637,1.2754118487242096e-16,6.897207782656653e-14
1638,1.6276255653392567e-16,8.276846009285342e-14
1639,1.966751973642145e-16,9.636166339932018e-14
1640,2.292215806475293e-16,1.0971762844620146e-13
1641,2.6034926191259693e-16,1.228028903608744e-13
1642,2.9001089475248384e-16,1.3558466254786102e-13
1643,3.181642324132987e-16,1.4803091883933066e-13
1644,3.447721154966209e-16,1.6011047374026573e-13
1645,3.6980244615058456e-16,1.7179306056722683e-13
1646,3.932281491517219e-16,1.8304940728493272e-13
1647,4.1502712030696046e-16,1.9385130985063655e-13
1648,4.351821626288558e-16,2.0417170288252753e-13
1649,4.536809107600033e-16,2.1398472747509182e-13
1650,4.705157441432193e-16,2.2326579599149779e-13
1651,4.856836894528387e-16,2.3199165367070217e-13
1652,4.991863128194403e-16,2.401404368948582e-13
1653,5.110296023952531e-16,2.4769172797107207e-13
1654,5.212238418207678e-16,2.5462660629022903e-13
1655,5.29783475164188e-16,2.6092769573470736e-13
1656,5.367269639148951e-16,2.6657920821619565e-13
1657,5.420766366194552e-16,2.7156698323452367e-13
1658,5.458585317545349e-16,2.7587852335838847e-13
1659,5.481022344352828e-16,2.795030255390737e-13
1660,5.488407075591164e-16,2.824314081787037e-13
1661,5.481101179866007e-16,2.846563338852083e-13
1662,5.459496583583128e-16,2.861722278569835e-13
1663,5.424013651452538e-16,2.8697529185118465e-13
1664,5.375099335248091e-16,2.870635137006504e-13
1665,5.313225296687215e-16,2.8643667235561434e-13
1666,5.238886010222448e-16,2.850963384375697e-13
1667,5.152596851443407e-16,2.8304587030390076e-13
1668,5.054892176689006e-16,2.8029040563313985e-13
1669,4.946323399351259e-16,2.7683684855193896e-13
1670,4.827457068227406e-16,2.7269385233599957e-13
1671,4.698872953134546e-16,2.678717977283197e-13
1672,4.561162142852463e-16,2.6238276692907434e-13
1673,4.4149251602969343e-16,2.5624051332230383e-13
1674,4.2607700996598645e-16,2.4946042701526347e-13
1675,4.0993107900673714e-16,2.4205949627677837e-13
1676,3.931164990124623e-16,2.340562649712256e-13
1677,3.7569526175165246e-16,2.25470786094796e-13
1678,3.577294017636939e-16,2.163245715304572e-13
1679,3.3928082750054166e-16,2.066405381475107e-13
1680,3.2041115710226836e-16,1.964429503807988e-13
1681,3.01181559139559e-16,1.8575735943343374e-13
1682,2.8165259863407046e-16,1.7461053925538455e-13
1683,2.618840886455229e-16,1.6303041945833399e-13
1684,2.419349476911314e-16,1.5104601533489517e-13
1685,2.21863063240603e-16,1.3868735515753233e-13
1686,2.0172516150681294e-16,1.2598540493934699e-13
1687,1.815766837292412e-16,1.1297199084524903e-13
1688,1.6147166912449486e-16,9.967971944791718e-14
1689,1.4146264465509508e-16,8.614189602837905e-14
1690,1.2160052174528154e-16,7.23924411258607e-14
1691,1.0193450005004184e-16,5.846580554607564e-14
1692,8.25119783612364e-17,4.439688404085242e-14
1693,6.337847271305135e-17,3.022092787540927e-14
1694,4.457754172725047e-17,1.5973456502344204e-14
1695,2.6150719217872525e-17,1.690168563651502e-15
1696,8.137454054332318e-18,-1.2593147556240916e-14
1697,-9.42494273822215e-18,-2.6840703402293978e-14
1698,-2.6501343681667187e-17,-4.1016800120856817e-14
1699,-4.305884341047029e-17,-5.5085917907159766e-14
1700,-5.906679017751991e-17,-6.901280500418029e-14
1701,-7.449681039542413e-17,-8.276256602988509e-14
1702,-8.932282632544795e-17,-9.630074941153464e-14
1703,-1.0352106704201097e-16,-1.095934337079735e-13
1704,-1.1707007281630535e-16,-1.2260731260361657e-13
1705,-1.2995069307695151e-16,-1.3530977836116865e-13
1706,-1.4214607811933516e-16,-1.4766900352397802e-13
1707,-1.5364166474818094e-16,-1.5965402066331195e-13
1708,-1.6442515604998518e-16,-1.7123479997071909e-13
1709,-1.7448649550301086e-16,-1.8238232450111243e-13
1710,-1.8381783564298822e-16,-1.9306866287797523e-13
1711,-1.9241350151198252e-16,-2.0326703927856972e-13
1712,-2.0026994912650887e-16,-2.129519005237728e-13
1713,-2.0738571920872872e-16,-2.220989801044402e-13
1714,-2.1376138643117068e-16,-2.3068535898387453e-13
1715,-2.193995044315954e-16,-2.386895230240497e-13
1716,-2.243045468594478e-16,-2.460914168917032e-13
1717,-2.284828447197339e-16,-2.5287249430922957e-13
1718,-2.319425202833682e-16,-2.590157645244648e-13
1719,-2.346934178356434e-16,-2.645058348829268e-13
1720,-2.367470315361215e-16,-2.6932894939584273e-13
1721,-2.381164306641332e-16,-2.7347302320732576e-13
1722,-2.38816182524127e-16,-2.769276728743411e-13
1723,-2.3886227328456328e-16,-2.7968424238358987e-13
1724,-2.3827202702244555e-16,-2.817358248401245e-13
1725,-2.3706402324362803e-16,-2.8307727977335057e-13
1726,-2.352580131460224e-16,-2.837052460170543e-13
1727,-2.3287483488943966e-16,-2.83618150131182e-13
1728,-2.299363281315985e-16,-2.8281621034427184e-13
1729,-2.26465248085078e-16,-2.813014360066573e-13
1730,-2.224851793445531e-16,-2.790776225558139e-13
1731,-2.1802044972788663e-16,-2.761503420064638e-13
1732,-2.1309604436806581e-16,-2.725269289892661e-13
1733,-2.0773752028607582e-16,-2.682164623730749e-13
1734,-2.019709216674944e-16,-2.6322974251681223e-13
1735,-1.9582269605762934e-16,-2.575792642079538e-13
1736,-1.8931961168191274e-16,-2.5127918535543415e-13
1737,-1.824886760895965e-16,-2.443452915154127e-13
1738,-1.7535705630998192e-16,-2.36794956338788e-13
1739,-1.679520007011462e-16,-2.2864709803956093e-13
1740,-1.603007626616535e-16,-2.1992213199312185e-13
1741,-1.5243052636613186e-16,-2.1064191958323129e-13
1742,-1.4436833467561083e-16,-2.0082971342586426e-13
1743,-1.361410193635601e-16,-1.9051009910716533e-13
1744,-1.2777513378832776e-16,-1.7970893358149763e-13
1745,-1.1929688813244986e-16,-1.6845328038393521e-13
1746,-1.1073208731895971e-16,-1.5677134181952876e-13
1747,-1.0210607170445261e-16,-1.4469238829927152e-13
1748,-9.344366063827164e-17,-1.3224668499977268e-13
1749,-8.476909896690555e-17,-1.1946541603046617e-13
1750,-7.610600655225531e-17,-1.0638060629831423e-13
1751,-6.747733086240932e-17,-9.302504126580067e-14
1752,-5.890530268328519e-17,-7.943218480326735e-14
1753,-5.0411394989612e-17,-6.56360953414231e-14
1754,-4.201628500394876e-17,-5.1671340534114994e-14
1755,-3.373981946266233e-17,-3.757291064518355e-14
1756,-2.56009830985834e-17,-2.3376130876421304e-14
1757,-1.761787034062784e-17,-9.116572856306487e-15
1758,-9.807660221869972e-18,5.1700344887129846e-15
1759,-2.186594478801142e-18,1.9447894457063303e-14
1760,5.230041183895902e-18,3.368123226470676e-14
1761,1.2427932696826381e-17,4.783438468288687e-14
1762,1.939375013924324e-17,6.187188939635924e-14
1763,2.6115157211285e-17,7.575857385821093e-14
1764,3.258081772132329e-17,8.945964341863282e-14
1765,3.878039915144061e-17,1.0294076850682814e-13
1766,4.4704573370371216e-17,1.1616817064761703e-13
1767,5.034501456944349e-17,1.2910870709719034e-13
1768,5.569439450269412e-17,1.417299538860045e-13
1769,6.074637511756307e-17,1.5400028706066889e-13
1770,6.54955986676218e-17,1.6588896192132185e-13
1771,6.993767540323347e-17,1.77366190055934e-13
1772,7.40691689401837e-17,1.884032139785251e-13
1773,7.788757941012592e-17,1.9897237918427972e-13
1774,8.139132449998612e-17,2.0904720344101927e-13
1775,8.457971849044557e-17,2.1860244314341342e-13
1776,8.745294940622491e-17,2.276141565636725e-13
