ell,residuals,osc_fit
295,6.476929359166492e-13,2.372675033328742e-13
296,6.255416542171529e-13,2.2890802914466687e-13
297,6.017124703377102e-13,2.1997920686948819e-13
298,5.762584230691477e-13,2.1050340867580901e-13
299,5.49236957555973e-13,2.0050437724178323e-13
300,5.207097962757919e-13,1.9000716626529979e-13
301,4.907427982876767e-13,1.7903807768912248e-13
302,4.594058070677966e-13,1.6762459579841504e-13
303,4.2677248728306747e-13,1.557953183557746e-13
304,3.92920150883809e-13,1.4357988494631812e-13
305,3.579295729271214e-13,1.3100890271237169e-13
306,3.21884797570927e-13,1.1811386966382932e-13
307,2.848729347069636e-13,1.0492709575635012e-13
308,2.4698394772812066e-13,9.148162193512705e-14
309,2.083104329502863e-13,7.781113734708397e-14
310,1.6894739123429368e-13,6.394989492893032e-14
311,1.289919923753369e-13,4.99326255825722e-14
312,8.854333285002303e-14,3.579445115293526e-14
313,4.77021875300333e-14,2.15707964262285e-14
314,6.570755990973191e-15,7.297300369159497e-15
315,-3.4747595938749445e-14,-6.990273168503567e-15
316,-7.614859872891526e-14,-2.125612506428355e-14
317,-1.1752734512417529e-13,-3.546451062171816e-14
318,-1.5877855886113056e-13,-4.957982913272078e-14
319,-1.997968654299693e-13,-6.356671307915726e-14
320,-2.4047706417683497e-13,-7.739011675013953e-14
321,-2.8071440103684186e-13,-9.101540405299691e-14
322,-3.20404841182899e-13,-1.04408435297903e-13
323,-3.594453408731644e-13,-1.1753565273870684e-13
324,-3.9773411777925263e-13,-1.3036416465564077e-13
325,-4.351709190783277e-13,-1.4286182776922464e-13
326,-4.716572865956639e-13,-1.5499732777886434e-13
327,-5.07096818289194e-13,-1.6674025782435922e-13
328,-5.413954253744275e-13,-1.7806119467370683e-13
329,-5.744615843975073e-13,-1.8893177244632088e-13
330,-6.062065835739889e-13,-1.993247536869362e-13
331,-6.365447627248953e-13,-2.0921409761211351e-13
332,-6.653937461546841e-13,-2.185750253583557e-13
333,-6.926746678331908e-13,-2.2738408206833423e-13
334,-7.183123882608532e-13,-2.35619195659673e-13
335,-7.42235702416799e-13,-2.4325973212903385e-13
336,-7.643775382105124e-13,-2.5028654725293063e-13
337,-7.846751448810076e-13,-2.566820345557374e-13
338,-8.03070270812058e-13,-2.624301694246914e-13
339,-8.195093302581517e-13,-2.675165492613635e-13
340,-8.339435585034381e-13,-2.719284295689871e-13
341,-8.463291550049318e-13,-2.756547558852302e-13
342,-8.566274141013316e-13,-2.7868619148039307e-13
343,-8.648048429007067e-13,-2.810151407516345e-13
344,-8.708332659923744e-13,-2.8263576825460926e-13
345,-8.746899166623925e-13,-2.8354401332483025e-13
346,-8.763575143267638e-13,-2.8373760025212024e-13
347,-8.75824327931509e-13,-2.832160439826594e-13
348,-8.730842251059229e-13,-2.8198065133434234e-13
349,-8.6813670689139e-13,-2.8003451772239874e-13
350,-8.609869279066264e-13,-2.7738251940348295e-13
351,-8.516457018478494e-13,-2.7403130125766344e-13
352,-8.40129492260828e-13,-2.699892601389293e-13
353,-8.264603885610719e-13,-2.6526652383592777e-13
354,-8.106660673168419e-13,-2.598749256956503e-13
355,-7.92779738849174e-13,-2.5382797497365243e-13
356,-7.728400792419888e-13,-2.4714082298509195e-13
357,-7.508911478942208e-13,-2.398302251414065e-13
358,-7.26982290785014e-13,-2.319144989677452e-13
359,-7.011680296607423e-13,-2.2341347820634824e-13
360,-6.735079373913764e-13,-2.1434846312087772e-13
361,-6.440664997803598e-13,-2.0474216712620759e-13
362,-6.129129641494298e-13,-1.9461865987741038e-13
363,-5.801211750555334e-13,-1.8400330696052855e-13
364,-5.457693975324633e-13,-1.7292270633624497e-13
365,-5.099401282836261e-13,-1.6140462169570413e-13
366,-4.727198952859453e-13,-1.494779128954563e-13
367,-4.3419904629683944e-13,-1.3717246364584431e-13
368,-3.9447152678684594e-13,-1.2451910663400532e-13
369,-3.536346478503582e-13,-1.1154954626910428e-13
370,-3.117888446748572e-13,-9.829627924337479e-14
371,-2.6903742617564863e-13,-8.479251310799585e-14
372,-2.2548631642847013e-13,-7.107208306784134e-14
373,-1.8124378855567866e-13,-5.716936720356747e-14
374,-1.364201917435941e-13,-4.311920033346433e-14
375,-9.112767208870121e-14,-2.895678673090439e-14
376,-4.5479887988646714e-14,-1.471761191607018e-14
377,4.0827918952501477e-16,-4.373537429962097e-16
378,4.642101841722591e-14,1.3848206995309155e-14
379,9.244188552844998e-14,2.8103276219660918e-14
380,1.3835410219068653e-13,4.229213625079483e-14
381,1.840408565435845e-13,5.6379235304026053e-14
382,2.293856047207484e-13,7.032927656824534e-14
383,2.7427237246507064e-13,8.41073066460502e-14
384,3.1858605604601325e-13,9.767880313340957e-14
385,3.6221272168665973e-13,1.1100976111943581e-13
386,4.0503990271108244e-13,1.240667783895097e-13
387,4.4695689362549444e-13,1.368171391182871e-13
388,4.878550403537596e-13,1.4922889584287964e-13
389,5.276280258555442e-13,1.6127094951081316e-13
390,5.661721503658657e-13,1.7291312740220642e-13
391,6.033866055069809e-13,1.84126258730911e-13
392,6.391737415386016e-13,1.9488224773519792e-13
393,6.734393270276491e-13,2.0515414407484934e-13
394,7.060928002383927e-13,2.1491621035826424e-13
395,7.370475115632165e-13,2.2414398663039227e-13
396,7.662209563365578e-13,2.328143516598995e-13
397,7.935349973988368e-13,2.409055808720143e-13
398,8.189160768024899e-13,2.4839740078189403e-13
399,8.422954160794806e-13,2.552710397921189e-13
400,8.636092045192626e-13,2.615092752270442e-13
401,8.82798774935847e-13,2.670964764861489e-13
402,8.998107664352069e-13,2.720186442082638e-13
403,9.145972737273618e-13,2.7626344534854587e-13
404,9.27115982561785e-13,2.798202440803081e-13
405,9.373302909014258e-13,2.8268012844428125e-13
406,9.45209415486567e-13,2.8483593267852895e-13
407,9.507284834784093e-13,2.862822551730705e-13
408,9.538686089107234e-13,2.8701547200422227e-13
409,9.546169537177488e-13,2.8703374601474593e-13
410,9.529667731467324e-13,2.8633703141705294e-13
411,9.489174454043793e-13,2.849270739079299e-13
412,9.424744854282077e-13,2.828074062944995e-13
413,9.336495427153034e-13,2.7998333964237425e-13
414,9.224603831829338e-13,2.7646194996818533e-13
415,9.08930855078031e-13,2.7225206050982577e-13
416,8.930908389947517e-13,2.673642196188363e-13
417,8.749761821007318e-13,2.6181067433032354e-13
418,8.546286167160846e-13,2.556053396766377e-13
419,8.320956634291594e-13,2.487637638216917e-13
420,8.07430518975751e-13,2.413030891032889e-13
421,7.80691929148305e-13,2.3324200908106767e-13
422,7.519440470418729e-13,2.2460072169768437e-13
423,7.212562769835605e-13,2.1540087867059892e-13
424,6.887031045293089e-13,2.0566553124125757e-13
425,6.543639129512778e-13,1.9541907241761724e-13
426,6.183227866734045e-13,1.8468717585472012e-13
427,5.806683021498949e-13,1.7349673152646225e-13
428,5.414933067143397e-13,1.61875778349743e-13
429,5.008946859598896e-13,1.4985343392979998e-13
430,4.589731202428376e-13,1.374598216027778e-13
431,4.1583283093082473e-13,1.2472599495832006e-13
432,3.7158131704556817e-13,1.1168386003130701e-13
433,3.263290829761619e-13,9.836609535770027e-14
434,2.801893579636352e-13,8.480607009479e-14
435,2.3327780808043734e-13,7.103776041102173e-14
436,1.8571224144937558e-13,5.709566435488402e-14
437,1.3761230746507922e-13,4.301471541616686e-14
438,8.909919079892759e-14,2.883019499617785e-14
439,4.029530098232207e-14,1.4577644006217014e-14
440,-8.676041623476425e-15,2.9277381583011214e-16
441,-5.769092265212705e-14,-1.3988623226045362e-14
442,-1.066251525245152e-13,-2.8230763472837166e-14
443,-1.5535458637489054e-13,-4.2397961640285456e-14
444,-2.037554442734203e-13,-5.6454720219942275e-14
445,-2.5170463090533617e-13,-7.036581842216742e-14
446,-2.990800538680957e-13,-8.409640042577935e-14
447,-3.4576093974947574e-13,-9.761206271323644e-14
448,-3.916281471555546e-13,-1.1087894027251593e-13
449,-4.36564475863611e-13,-1.2386379144971617e-13
450,-4.804549712848052e-13,-1.3653408123975544e-13
451,-5.23187223433025e-13,-1.488580628064875e-13
452,-5.646516596093809e-13,-1.6080485702797115e-13
453,-6.047418300280849e-13,-1.7234452986757985e-13
454,-6.43354685627257e-13,-1.8344816737710247e-13
455,-6.80390847327485e-13,-1.9408794814388924e-13
456,-7.157548660236731e-13,-2.0423721300053162e-13
457,-7.493554726187999e-13,-2.1387053182240225e-13
458,-7.811058174340024e-13,-2.2296376724569637e-13
459,-8.10923698357305e-13,-2.314941351463091e-13
460,-8.387317771216112e-13,-2.3944026172802136e-13
461,-8.64457783134271e-13,-2.467822370769511e-13
462,-8.880347043123018e-13,-2.535016650480798e-13
463,-9.094009644115332e-13,-2.5958170935886586e-13
464,-9.285005863731662e-13,-2.650071357744421e-13
465,-9.45283341247602e-13,-2.6976435027870523e-13
466,-9.597048822933686e-13,-2.7384143313565256e-13
467,-9.717268638879014e-13,-2.7722816875561984e-13
468,-9.81317044926464e-13,-2.799160712915921e-13
469,-9.88449376426714e-13,-2.8189840590144655e-13
470,-9.931040730974432e-13,-2.8317020562285716e-13
471,-9.952676686727977e-13,-2.837282838185777e-13
472,-9.949330548556189e-13,-2.835712421609195e-13
473,-9.920995037569137e-13,-2.8269947413541885e-13
474,-9.867726737621826e-13,-2.811151640549149e-13
475,-9.78964598798762e-13,-2.78822281586508e-13
476,-9.686936610224513e-13,-2.7582657180511186e-13
477,-9.5598454698565e-13,-2.7213554079852354e-13
478,-9.40868187392374e-13,-2.677584368600746e-13
479,-9.23381680589592e-13,-2.6270622731599287e-13
480,-9.035681999871817e-13,-2.56991571045533e-13
481,-8.814768856410208e-13,-2.5062878676272986e-13
482,-8.57162720276282e-13,-2.4363381713925233e-13
483,-8.306863900688898e-13,-2.360241888582433e-13
484,-8.021141305434523e-13,-2.278189686992457e-13
485,-7.715175579859826e-13,-2.1903871576424125e-13
486,-7.389734868071874e-13,-2.0970542996450737e-13
487,-7.04563733330806e-13,-1.99842496897368e-13
488,-6.683749065158035e-13,-1.8947462925094503e-13
489,-6.30498186157687e-13,-1.7862780488374142e-13
490,-5.910290891460698e-13,-1.673292017341941e-13
491,-5.500672243879476e-13,-1.5560712972329173e-13
492,-5.077160370365402e-13,-1.434909598208868e-13
493,-4.640825426930714e-13,-1.310110504534222e-13
494,-4.19277052276677e-13,-1.1819867143748253e-13
495,-3.7341288828121294e-13,-1.050859256297499e-13
496,-3.266060931616617e-13,-9.17056684896895e-14
497,-2.7897513061309264e-13,-7.809142575649494e-14
498,-2.3064058052421045e-13,-6.427730944658157e-14
499,-1.817248284043936e-13,-5.0297932382091845e-14
500,-1.323517500977682e-13,-3.6188321464575296e-14
501,-8.264639261028245e-14,-2.1983829911151136e-14
502,-3.273465188606132e-14,-7.720048673040451e-15
503,1.7257051622406712e-14,6.567282741561154e-15
504,6.720209874009079e-14,2.084236581684209e-14
505,1.1697399785750522e-13,3.506943272658358e-14
506,1.6644671086583653e-13,4.921283595446712e-14
507,2.1549497788512357e-13,6.323713761294213e-14
508,2.639946399345543e-13,7.710719823683499e-14
509,3.118229586996692e-13,9.078826482923233e-14
510,3.588589325588077e-13,1.0424605793902451e-13
511,4.0498360804133405e-13,1.174468575519222e-13
512,4.5008038590253234e-13,1.303575875797504e-13
513,4.940353210137636e-13,1.4294589873630392e-13
514,5.367374152840384e-13,1.5518024959212316e-13
515,5.780789028468057e-13,1.6702998560509417e-13
516,6.179555267668466e-13,1.7846541592884845e-13
517,6.562668065449029e-13,1.8945788780652282e-13
518,6.929162957217376e-13,1.9997985836346137e-13
519,7.278118289101859e-13,2.1000496361898624e-13
520,7.608657576116414e-13,2.1950808454431747e-13
521,7.919951742033318e-13,2.2846541000112186e-13
522,8.211221235142263e-13,2.368544964030025e-13
523,8.481738014406786e-13,2.4465432395042604e-13
524,8.73082740086974e-13,2.5184534929819513e-13
525,8.957869789519588e-13,2.5840955452349847e-13
526,9.162302217203898e-13,2.6433049227184115e-13
527,9.343619782552197e-13,2.6959332696774415e-13
528,9.501376914266665e-13,2.7418487198694513e-13
529,9.63518848454655e-13,2.780936226969694e-13
530,9.744730764811208e-13,2.8130978528328063e-13
531,9.829742221319257e-13,2.838253012887839e-13
532,9.890024148692376e-13,2.8563386780519776e-13
533,9.925441139793845e-13,2.8673095326569863e-13
534,9.9359213908337e-13,2.8711380879927185e-13
535,9.921456841018171e-13,2.8678147511831667e-13
536,9.882103146493225e-13,2.857347849222497e-13
537,9.817979488770556e-13,2.839763608110825e-13
538,9.729268218261629e-13,2.8151060871420247e-13
539,9.616214333984525e-13,2.7834370685082097e-13
540,9.479124800930592e-13,2.744835902497509e-13
541,9.318367707018485e-13,2.6993993086729873e-13
542,9.134371261971817e-13,2.647241133530903e-13
543,8.927622640884881e-13,2.588492065245509e-13
544,8.698666675637376e-13,2.5232993062151293e-13
545,8.448104397728523e-13,2.4518262042300083e-13
546,8.176591436480199e-13,2.3742518431860266e-13
547,7.884836276946613e-13,2.2907705943698734e-13
548,7.573598382226204e-13,2.2015916294399206e-13
549,7.243686185231009e-13,2.106938396323103e-13
550,6.895954955304867e-13,2.0070480593410285e-13
551,6.531304545410615e-13,1.902170904968058e-13
552,6.150677025908068e-13,1.7925697147104188e-13
553,5.755054211251294e-13,1.6785191066775782e-13
554,5.345455086194294e-13,1.560304847495673e-13
555,4.922933138363072e-13,1.4382231362871232e-13
556,4.4885736042893514e-13,1.312579862510363e-13
557,4.0434906362160476e-13,1.1836898395194329e-13
558,3.58882439719559e-13,1.0518760157637039e-13
559,3.125738092172117e-13,9.174686656042049e-14
560,2.655414942904934e-13,7.808045617741026e-14
561,2.1790551147269425e-13,6.422261315566824e-14
562,1.6978726032504557e-13,5.020805987953146e-14
563,1.213092089224499e-13,3.607191138850517e-14
564,7.259457698263765e-14,2.184958739258077e-14
565,2.376701747176089e-14,7.576723524172736e-15
566,-2.5049702477568312e-14,-6.710917950972569e-15
567,-7.373202049898505e-14,-2.0977537740151992e-14
568,-1.221568969405915e-13,-3.5187389222860964e-14
569,-1.7020213099760618e-13,-4.930486801797272e-14
570,-2.177466742036053e-13,-6.329460119451581e-14
571,-2.646709404634259e-13,-7.712153590253715e-14
572,-3.1085711182076365e-13,-9.075102720195611e-14
573,-3.561894391659325e-13,-1.0414892486936048e-13
574,-4.0055453710406537e-13,-1.1728165896522854e-13
575,-4.438416722204365e-13,-1.3011632394719381e-13
576,-4.859430439982735e-13,-1.426207611185788e-13
577,-5.267540576650585e-13,-1.5476363920562738e-13
578,-5.661735882658023e-13,-1.665145328615361e-13
579,-6.041042352859358e-13,-1.778439989005792e-13
580,-6.404525671727495e-13,-1.8872365007132723e-13
581,-6.751293551318535e-13,-1.9912622618409466e-13
582,-7.080497956047971e-13,-2.090256624144124e-13
583,-7.39133720864406e-13,-2.1839715461137753e-13
584,-7.68305797197485e-13,-2.272172214472407e-13
585,-7.954957101773659e-13,-2.354637632525177e-13
586,-8.206383365645628e-13,-2.4311611738919455e-13
587,-8.436739024094204e-13,-2.5015511002329137e-13
588,-8.645481269679452e-13,-2.565631041670608e-13
589,-8.832123520805427e-13,-2.6232404387044237e-13
590,-8.99623656701713e-13,-2.674234944510543e-13
591,-9.13744956309532e-13,-2.7184867866191145e-13
592,-9.25545086963059e-13,-2.755885087062558e-13
593,-9.349988738178374e-13,-2.7863361401927806e-13
594,-9.42087183950423e-13,-2.80976364747121e-13
595,-9.46796963384863e-13,-2.826108908643379e-13
596,-9.491212582557365e-13,-2.835330968819005e-13
597,-9.490592200848568e-13,-2.8374067210890763e-13
598,-9.46616095190257e-13,-2.832330964422812e-13
599,-9.41803198288117e-13,-2.820116416699431e-13
600,-9.3463787038998e-13,-2.800793682842071e-13
601,-9.251434211388184e-13,-2.774411178133716e-13
602,-9.133490557682594e-13,-2.741035006907257e-13
603,-8.992897869093904e-13,-2.7007487969136476e-13
604,-8.830063315094887e-13,-2.653653489783181e-13
605,-8.645449931651269e-13,-2.599867088104864e-13
606,-8.439575302106075e-13,-2.53952435975767e-13
607,-8.213010099391034e-13,-2.4727765002344564e-13
608,-7.966376493696392e-13,-2.399790753804647e-13
609,-7.700346430081072e-13,-2.320749994464926e-13
610,-7.415639780832295e-13,-2.2358522677278384e-13
611,-7.113022377706038e-13,-2.1453102943965052e-13
612,-6.793303929486658e-13,-2.049350937568713e-13
613,-6.457335830591197e-13,-1.9482146342059326e-13
614,-6.106008866718516e-13,-1.8421547926914304e-13
615,-5.740250823802174e-13,-1.7314371578870884e-13
616,-5.361024006764571e-13,-1.616339145279756e-13
617,-4.96932267479486e-13,-1.4971491458855384e-13
618,-4.566170400071554e-13,-1.3741658036537017e-13
619,-4.1526173570418986e-13,-1.2476972671806193e-13
620,-3.729737549532806e-13,-1.118060417608838e-13
621,-3.298625983111737e-13,-9.855800746457254e-14
622,-2.8603957902456853e-13,-8.505881826911508e-14
623,-2.4161753159096843e-13,-7.134229791134942e-14
624,-1.967105171378973e-13,-5.744281467578189e-14
625,-1.5143352640069497e-13,-4.3395195280988724e-14
626,-1.0590218108292853e-13,-2.9234637617354514e-14
627,-6.023243438602996e-14,-1.4996622554798032e-14
628,-1.4540271494498852e-14,-7.168250414660494e-16
629,3.1058589198542347e-14,1.3568975283867868e-14
630,7.644899334544826e-14,2.78249837417085e-14
631,1.2151664560303437e-13,4.2015480299435444e-14
632,1.6614840153087618e-13,5.6104909071863406e-14
633,2.1023255567268697e-13,7.005796741050767e-14
634,2.536591250775392e-13,8.383969435834644e-14
635,2.96320127531046e-13,9.741555824842695e-14
636,3.381098537834482e-13,1.1075154322684185e-13
637,3.789251330788165e-13,1.23814234483278e-13
638,4.1866559130965564e-13,1.3657090197557832e-13
639,4.57233901142634e-13,1.4898958243854933e-13
640,4.945360234839915e-13,1.6103915947151407e-13
641,5.304814396784037e-13,1.7268944150395147e-13
642,5.649833738606245e-13,1.8391123744387713e-13
643,5.979590049081483e-13,1.946764298194041e-13
644,6.293296674706954e-13,2.04958045230232e-13
645,6.590210415843449e-13,2.147303219325353e-13
646,6.869633304086858e-13,2.2396877438791005e-13
647,7.130914256586104e-13,2.326502546146443e-13
648,7.37345060336106e-13,2.4075301018758967e-13
649,7.596689484022848e-13,2.482567387413105e-13
650,7.800129110653248e-13,2.5514263883993946e-13
651,7.983319893965977e-13,2.613934570862963e-13
652,8.145865430237734e-13,2.6699353135221065e-13
653,8.287423346882839e-13,2.7192883002174697e-13
654,8.407706004912608e-13,2.761869871489962e-13
655,8.506481056914274e-13,2.797573334423445e-13
656,8.58357185956689e-13,2.826309229975829e-13
657,8.638857740095958e-13,2.8480055571287693e-13
658,8.672274116462521e-13,2.862607953294312e-13
659,8.683812471463241e-13,2.870079830526477e-13
660,8.67352018130832e-13,2.8704024671964645e-13
661,8.641500199620675e-13,2.863575054901812e-13
662,8.587910598185006e-13,2.84961470049193e-13
663,8.512963966144669e-13,2.828556383204967e-13
664,8.416926669711355e-13,2.800452867023399e-13
665,8.300117974818675e-13,2.7653745684679304e-13
666,8.162909035499147e-13,2.7234093801609857e-13
667,8.005721751111311e-13,2.674662450601859e-13
668,7.829027495878958e-13,2.6192559207053185e-13
669,7.633345724527515e-13,2.5573286177638014e-13
670,7.419242458119326e-13,2.4890357076000514e-13
671,7.18732865448731e-13,2.414548305781648e-13
672,6.938258467958994e-13,2.334053048871738e-13
673,6.67272740333587e-13,2.247751626790127e-13
674,6.391470369352067e-13,2.1558602774565004e-13
675,6.095259637090236e-13,2.0586092449819944e-13
676,5.784902709051858e-13,1.95624220276668e-13
677,5.461240104803646e-13,1.849015642948451e-13
678,5.125143069314511e-13,1.7371982337331085e-13
679,4.777511210279961e-13,1.6210701462160162e-13
680,4.419270070895144e-13,1.500922352381815e-13
681,4.0513686446796157e-13,1.3770558960414513e-13
682,3.67477683909252e-13,1.2497811385330326e-13
683,3.290482894777169e-13,1.1194169810765885e-13
684,2.899490767369212e-13,9.862900657311948e-14
685,2.502817478874795e-13,8.507339569565569e-14
686,2.1014904456749027e-13,7.130883058297375e-14
687,1.6965447902493764e-13,5.736979990111823e-14
688,1.2890206437262017e-13,4.3291229459238056e-14
689,8.799604463563819e-14,2.910839469905149e-14
690,4.7040625299971846e-14,1.4856832308247344e-14
691,6.139705065020398e-15,5.722511793249896e-16
692,-3.460339050151109e-14,-1.3709557063054092e-14
693,-7.508617271670287e-14,-2.7952807742007537e-14
694,-1.152072502637538e-13,-4.212181279096485e-14
695,-1.5486658573229017e-13,-5.6181070174132206e-14
696,-1.9396574756249725e-13,-7.009535284083616e-14
697,-2.324081567525124e-13,-8.382979699086127e-14
698,-2.7009932770450684e-13,-9.73499894296246e-14
699,-3.069471026041411e-13,-1.1062205379429786e-13
700,-3.428618787463276e-13,-1.2361273543485609e-13
701,-3.777568282427382e-13,-1.3628948473733583e-13
702,-4.1154810956775294e-13,-1.486205386805559e-13
703,-4.441550704245692e-13,-1.6057500042193948e-13
704,-4.755004414375562e-13,-1.7212291671302833e-13
705,-5.055105202036633e-13,-1.832353529507155e-13
706,-5.341153452631594e-13,-1.938844656761482e-13
707,-5.612488595785685e-13,-2.0404357233964526e-13
708,-5.868490631399158e-13,-2.1368721815682793e-13
709,-6.108581543453779e-13,-2.2279123988843985e-13
710,-6.33222659836896e-13,-2.3133282638406875e-13
711,-6.538935525030091e-13,-2.392905757380441e-13
712,-6.728263573930246e-13,-2.4664454891432004e-13
713,-6.899812453202452e-13,-2.533763197059733e-13
714,-7.053231139652206e-13,-2.5946902090413664e-13
715,-7.188216563238686e-13,-2.6490738656068793e-13
716,-7.304514163797812e-13,-2.696777902388004e-13
717,-7.401918319136908e-13,-2.7376827915551313e-13
718,-7.480272643981521e-13,-2.7716860413077056e-13
719,-7.539470159593849e-13,-2.798702452679001e-13
720,-7.579453334227162e-13,-2.818664333011683e-13
721,-7.600213994917609e-13,-2.8315216655693887e-13
722,-7.601793111458218e-13,-2.8372422348592787e-13
723,-7.584280453727465e-13,-2.8358117073515825e-13
724,-7.547814123876094e-13,-2.827233667393868e-13
725,-7.492579965201372e-13,-2.811529608230056e-13
726,-7.41881084985204e-13,-2.788738878146677e-13
727,-7.326785847816044e-13,-2.758918581881314e-13
728,-7.216829279949947e-13,-2.722143437540274e-13
729,-7.089309658096528e-13,-2.6785055893839453e-13
730,-6.944638515623273e-13,-2.628114376949003e-13
731,-6.783269131985245e-13,-2.5710960610859006e-13
732,-6.605695155182283e-13,-2.5075935075981074e-13
733,-6.412449126226487e-13,-2.437765829275769e-13
734,-6.2041009099762e-13,-2.361787987220715e-13
735,-5.981256036919335e-13,-2.279850352461741e-13
736,-5.744553960699075e-13,-2.192158228958583e-13
737,-5.494666236375097e-13,-2.0989313391897422e-13
738,-5.232294624597085e-13,-2.0004032736131558e-13
739,-4.958169127035787e-13,-1.8968209053789517e-13
740,-4.673045958573899e-13,-1.7884437717610565e-13
741,-4.3777054618929e-13,-1.6755434238573518e-13
742,-4.072949970223025e-13,-1.5584027461878563e-13
743,-3.759601624121024e-13,-1.4373152478957433e-13
744,-3.438500148240023e-13,-1.3125843273271697e-13
745,-3.1105005941256614e-13,-1.1845225118325975e-13
746,-2.776471055131977e-13,-1.0534506746943636e-13
747,-2.437290359591096e-13,-9.196972311425631e-14
748,-2.0938457484009191e-13,-7.835973154738287e-14
749,-1.747030543194178e-13,-6.454919413345416e-14
750,-1.39774181125423e-13,-5.057271472728618e-14
751,-1.0468780333126633e-13,-3.646531297002066e-14
752,-6.953367803234972e-14,-2.2262336543475302e-14
753,-3.440124052565244e-14,-7.9993726025514e-15
754,6.206244125196164e-16,6.28784139238547e-15
755,3.544380856236045e-14,2.05635072197319e-14
756,6.998120303231e-14,3.479185559311926e-14
757,1.0414691720077287e-13,4.893723578537575e-14
758,1.378564932753956e-13,6.296420495544522e-14
759,1.7102711593156271e-13,7.683761695440369e-14
760,2.035778165083801e-13,9.052271038809063e-14
761,2.3542967125720463e-13,1.0398519571569173e-13
762,2.6650599315663337e-13,1.1719134116604003e-13
763,2.967325168271663e-13,1.3010805725636263e-13
764,3.2603757610042644e-13,1.427029797017014e-13
765,3.543522738184792e-13,1.5494455050726921e-13
766,3.816106434632703e-13,1.6680209704055667e-13
767,4.0774980223854636e-13,1.7824590888505652e-13
768,4.327100952524899e-13,1.8924731228306354e-13
769,4.564352304742915e-13,1.99778741980993e-13
770,4.788724041642499e-13,2.0981381029722542e-13
771,4.999724165039675e-13,2.1932737323941093e-13
772,5.196897771805657e-13,2.282955935055701e-13
773,5.379828007068946e-13,2.366960002111351e-13
774,5.548136912883123e-13,2.445075451922783e-13
775,5.701486170746811e-13,2.517106557444544e-13
776,5.839577736663077e-13,2.582872836640136e-13
777,5.962154367706044e-13,2.642209504700024e-13
778,6.06900003936209e-13,2.6949678869285667e-13
779,6.15994025320549e-13,2.7410157912651465e-13
780,6.234842234758334e-13,2.78023783950626e-13
781,6.293615021677287e-13,2.8125357563985806e-13
782,6.336209442698097e-13,2.837828615878662e-13
783,6.362617988058399e-13,2.8560530438422885e-13
784,6.372874572392587e-13,2.867163376935425e-13
785,6.367054191383504e-13,2.871131776968884e-13
786,6.345272473719015e-13,2.8679483006700383e-13
787,6.307685130169437e-13,2.857620924596814e-13
788,6.254487301871955e-13,2.8401755251515235e-13
789,6.185912810146069e-13,2.815655813744629e-13
790,6.102233310426358e-13,2.78412322727089e-13
791,6.00375735312402e-13,2.7456567741723086e-13
792,5.890829354463616e-13,2.7003528364735973e-13
793,5.763828480559032e-13,2.6483249282861725e-13
794,5.623167448198821e-13,2.5897034113857804e-13
795,5.469291246015036e-13,2.5246351685763985e-13
796,5.302675779891857e-13,2.4532832356588835e-13
797,5.123826446646953e-13,2.375826392926385e-13
798,4.93327664018711e-13,2.2924587172102445e-13
799,4.731586194483801e-13,2.2033890955986583e-13
800,4.5193397678609453e-13,2.108840702046585e-13
801,4.2971451732079243e-13,2.0090504381882983e-13
802,4.06563165884792e-13,1.904268339753699e-13
803,3.825448144889975e-13,1.794756950075668e-13
804,3.57726141997926e-13,1.6807906622582213e-13
805,3.321754303432298e-13,1.5626550316537037e-13
806,3.0596237778059004e-13,1.440646060371807e-13
807,2.791579096990609e-13,1.31506945561289e-13
808,2.518339874950564e-13,1.1862398636842705e-13
809,2.2406341602529325e-13,1.054480081618496e-13
810,1.9591965015275547e-13,9.201202483690722e-14
811,1.6747660089943781e-13,7.834970176101843e-14
812,1.388084417166402e-13,6.449527142130503e-14
813,1.0998941538019612e-13,5.048344765124536e-14
814,8.109364201281924e-14,3.6349338651260204e-14
815,5.219492872970773e-14,2.2128359021165758e-14
816,2.3366581395229953e-14,7.85614102491873e-15
817,-5.3187810294018e-15,-6.431554690040874e-15
818,-3.378940907872289e-14,-2.0698928695105948e-14
819,-6.197460185742136e-14,-3.491023247999919e-14
820,-8.98048821512812e-14,-4.902985802468636e-14
821,-1.1721216714252021e-13,-6.30224270192755e-14
822,-1.4412993431214498e-13,-7.685287950835143e-14
823,-1.704933821273718e-13,-9.04865617376375e-14
824,-1.9623958512897658e-13,-1.0388931298287434e-13
825,-2.213076430507045e-13,-1.1702755114335882e-13
826,-2.456388236213657e-13,-1.2986835688566686e-13
827,-2.691766987191843e-13,-1.4237955612675705e-13
828,-2.9186727356813026e-13,-1.5452980064974715e-13
829,-3.1365910868643605e-13,-1.6628864665039908e-13
830,-3.34503434318414e-13,-1.7762663101749454e-13
831,-3.5435425710314414e-13,-1.8851534515597417e-13
832,-3.7316845875511197e-13,-1.9892750616786755e-13
833,-3.909058865551558e-13,-2.0883702521266273e-13
834,-4.075294354729657e-13,-2.1821907287583166e-13
835,-4.23005121765794e-13,-2.2705014138171595e-13
836,-4.3730214792173683e-13,-2.3530810349491033e-13
837,-4.5039295883967677e-13,-2.4297226796253493e-13
838,-4.622532891622694e-13,-2.5002343135849737e-13
